Claim_Row_Index,File_Name,Mid_Time,Anchor_Info,Source_Anchor_Info,Signal_Source,Signal_Position,Claim_Location,Label_Location,Label_Source,Label_Position,Attack_Type,Global_Anchor_ID,Anchor_Region,Claim_Region,Topology_Match,S_topo,S_lte,S_meg,S_signal,S_location
21,20230704_1948_merged.csv,00:00:54,"(2502,2902)","(2502,2902)",局部_三星S7/20230704_1948,"(2502,2902)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1909,"(2472,2872)",replay_location,0,d4,"d3,d4",True,1,0.830405,0.807966,0.85247,0.834706
22,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1909,"(7978,8378)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
23,20230627_1707_merged.csv,00:00:51,"(2360,2760)","(2360,2760)",局部_三星S7/20230627_1707,"(2360,2760)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1912,"(2427,2827)",replay_location,5,d4,"d3,d4",True,1,0.79812,0.769938,0.820416,0.800813
24,20230627_1707_merged.csv,00:01:55,"(5532,5932)","(5532,5932)",局部_三星S7/20230627_1707,"(5532,5932)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230513_1912,"(5532,5932)",replay_location,18,b4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
25,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1912,"(8003,8403)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
26,20230704_1948_merged.csv,00:00:54,"(2502,2902)","(2502,2902)",局部_三星S7/20230704_1948,"(2502,2902)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1915,"(2454,2854)",replay_location,0,d4,"d3,d4",True,1,0.830405,0.807966,0.85247,0.834706
27,20230703_1721_merged.csv,00:01:50,"(5279,5679)","(5279,5679)",局部_三星S7/20230703_1721,"(5279,5679)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230513_1915,"(5020,5420)",replay_location,11,d4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
28,20230627_1707_merged.csv,00:00:51,"(2360,2760)","(2360,2760)",局部_三星S7/20230627_1707,"(2360,2760)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1922,"(2415,2815)",replay_location,5,d4,"d3,d4",True,1,0.79812,0.769938,0.820416,0.800813
29,20230627_1707_merged.csv,00:01:14,"(3480,3880)","(3480,3880)",局部_三星S7/20230627_1707,"(3480,3880)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230513_1922,,replay_location,11,d4,"d3,d4",True,1,0.831858,0.70632,0.786163,0.771349
30,20230627_1707_merged.csv,00:01:55,"(5532,5932)","(5532,5932)",局部_三星S7/20230627_1707,"(5532,5932)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230513_1922,"(5463,5863)",replay_location,18,b4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
31,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230513_1922,"(8073,8473)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
32,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230529_2029,"(2664,3064)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
33,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230529_2029,"(8533,8933)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
34,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230529_2029,"(9724,10100)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
35,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230614_2040,"(2727,3127)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
36,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230614_2040,"(6153,6490)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
37,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2040,"(7327,7727)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
38,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2040,"(8686,9086)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
39,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2040,"(9964,10364)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
40,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230614_2044,"(2594,2994)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
41,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2044,"(8378,8778)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
42,20230703_1721_merged.csv,00:00:15,"(550,950)","(550,950)",局部_三星S7/20230703_1721,"(550,950)","[""e4""]","[""e4""]",局部_小米MAX3/20230614_2051,"(484,884)",replay_location,22,"c3,d3",e4,False,-1,-1.0,-1.0,-1.0,-1.0
43,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230614_2051,"(2697,3097)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
44,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230614_2051,"(5969,6369)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
45,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2051,"(8588,8988)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
46,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230614_2051,"(9741,10141)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
47,20230627_1707_merged.csv,00:00:08,"(265,580)","(265,580)",局部_三星S7/20230627_1707,"(265,580)","[""e4""]","[""e4""]",局部_小米MAX3/20230616_2132,"(0,400)",replay_location,7,"e3,e4",e4,True,1,0.912574,0.723945,0.807784,0.80359
48,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230616_2132,"(2799,3199)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
49,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230616_2132,"(8807,9207)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
50,20230703_1721_merged.csv,00:00:15,"(550,950)","(550,950)",局部_三星S7/20230703_1721,"(550,950)","[""e4""]","[""e4""]",局部_小米MAX3/20230616_2136,"(508,908)",replay_location,22,"c3,d3",e4,False,-1,-1.0,-1.0,-1.0,-1.0
51,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230616_2136,"(2723,3123)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
52,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230616_2136,"(6009,6409)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
53,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230616_2136,"(8655,9055)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
54,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230616_2136,"(9750,10150)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
55,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230616_2139,"(2636,3036)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
56,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230616_2139,"(5703,6103)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
57,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230616_2142,"(2594,2994)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
58,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230616_2142,"(5695,6095)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
59,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230616_2142,"(7184,7584)",replay_location,6,e4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
60,20230704_1948_merged.csv,00:00:54,"(2502,2902)","(2502,2902)",局部_三星S7/20230704_1948,"(2502,2902)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230704_1948,"(2480,2880)",replay_location,0,d4,"d3,d4",True,1,0.830405,0.807966,0.85247,0.834706
61,20230703_1721_merged.csv,00:01:50,"(5279,5679)","(5279,5679)",局部_三星S7/20230703_1721,"(5279,5679)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230704_1948,"(5399,5799)",replay_location,11,d4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
62,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230704_1948,"(6858,7258)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
63,20230703_1721_merged.csv,00:00:15,"(550,950)","(550,950)",局部_三星S7/20230703_1721,"(550,950)","[""e4""]","[""e4""]",局部_小米MAX3/20230704_1955,"(490,890)",replay_location,22,"c3,d3",e4,False,-1,-1.0,-1.0,-1.0,-1.0
64,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230704_1955,"(2721,3121)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
65,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230704_1955,"(5812,6212)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
66,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230704_1955,"(8295,8695)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
67,20230703_1721_merged.csv,00:00:15,"(550,950)","(550,950)",局部_三星S7/20230703_1721,"(550,950)","[""e4""]","[""e4""]",局部_小米MAX3/20230704_1959,"(477,877)",replay_location,22,"c3,d3",e4,False,-1,-1.0,-1.0,-1.0,-1.0
68,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230704_1959,"(2580,2980)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
69,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230704_1959,"(8179,8579)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
70,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230705_1303,"(2630,3030)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
71,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230705_1303,"(5785,6185)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
72,20230703_1721_merged.csv,00:00:15,"(550,950)","(550,950)",局部_三星S7/20230703_1721,"(550,950)","[""e4""]","[""e4""]",局部_小米MAX3/20230705_1306,"(461,861)",replay_location,22,"c3,d3",e4,False,-1,-1.0,-1.0,-1.0,-1.0
73,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230705_1306,"(2624,3024)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
74,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230705_1306,"(8180,8580)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
75,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230705_1306,"(9319,9719)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
76,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230705_1310,"(2746,3146)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
77,20230627_1707_merged.csv,00:01:14,"(3480,3880)","(3480,3880)",局部_三星S7/20230627_1707,"(3480,3880)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230705_1310,"(4121,4430)",replay_location,11,d4,"d3,d4",True,1,0.831858,0.70632,0.786163,0.771349
78,20230627_1707_merged.csv,00:01:55,"(5532,5932)","(5532,5932)",局部_三星S7/20230627_1707,"(5532,5932)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230705_1310,"(5481,5881)",replay_location,18,b4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
79,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230705_1310,"(8361,8761)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
80,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230705_1310,"(9508,9908)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
81,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230706_2039,"(2618,3018)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
82,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230706_2039,"(5905,6305)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
83,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230706_2039,"(7002,7402)",replay_location,6,e4,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
84,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230706_2039,"(8778,9178)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
85,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230706_2039,"(9994,10394)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
86,20230703_1721_merged.csv,00:00:55,"(2625,2900)","(2625,2900)",局部_三星S7/20230703_1721,"(2625,2900)","[""d3"", ""d4""]","[""d3"", ""d4""]",局部_小米MAX3/20230706_2046,"(2685,3085)",replay_location,7,"e3,e4","d3,d4",False,-1,-1.0,-1.0,-1.0,-1.0
87,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230706_2046,"(8576,8976)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
88,20230703_1721_merged.csv,00:03:05,"(9035,9435)","(9035,9435)",局部_三星S7/20230703_1721,"(9035,9435)","[""d4""]","[""d4""]",局部_小米MAX3/20230706_2046,"(9719,9960)",replay_location,5,d4,d4,True,1,0.736856,0.799371,0.839802,0.807084
89,20230704_1948_merged.csv,00:01:58,"(5711,6070)","(5711,6070)",局部_三星S7/20230704_1948,"(5711,6070)","[""d3"", ""c4""]","[""d3"", ""c4""]",局部_小米MAX3/20230706_2050,"(5630,6030)",replay_location,8,e3,"c4,d3",False,-1,-1.0,-1.0,-1.0,-1.0
90,20230704_1948_merged.csv,00:02:49,"(8235,8635)","(8235,8635)",局部_三星S7/20230704_1948,"(8235,8635)","[""d4""]","[""d4""]",局部_小米MAX3/20230706_2050,"(8362,8762)",replay_location,6,e4,d4,False,-1,-1.0,-1.0,-1.0,-1.0
