File_Name,Mid_Time,Anchor_Info,Global_Anchor_ID,S_lte,S_meg,S_signal
20230923_2043_merged.csv,00:00:11,"(426,720)",14,0.847086,0.761101,0.818861
20230923_2043_merged.csv,00:00:45,"(2027,2427)",18,0.525641,0.763569,0.745
20230923_2043_merged.csv,00:01:12,"(3403,3803)",18,0.530094,0.739619,0.725438
20230923_2043_merged.csv,00:02:00,"(5779,6179)",34,0.719565,0.72586,0.77334
20230923_2043_merged.csv,00:02:21,"(6840,7240)",18,0.520414,0.634148,0.666272
20230923_2043_merged.csv,00:02:47,"(8177,8577)",4,0.564434,0.693531,0.73383
20230923_2043_merged.csv,00:03:09,"(9275,9675)",18,0.531626,0.599326,0.645264
20230923_2043_merged.csv,00:03:56,"(11622,12022)",0,0.603339,0.811557,0.823558
20230923_2117_merged.csv,00:00:27,"(1171,1571)",4,0.626819,0.617774,0.700212
20230923_2117_merged.csv,00:00:55,"(2549,2949)",34,0.768412,0.709172,0.778792
20230923_2117_merged.csv,00:01:16,"(3621,4021)",2,0.696279,0.739965,0.802508
20230923_2117_merged.csv,00:02:02,"(5928,6328)",8,0.609755,0.840979,0.836349
20230923_2117_merged.csv,00:02:48,"(8201,8601)",4,0.646622,0.673173,0.742928
20230923_2117_merged.csv,00:03:10,"(9283,9683)",0,0.599446,0.722245,0.768034
20230923_2117_merged.csv,00:04:00,"(11818,12218)",18,0.55119,0.765486,0.751403
20230923_2106_merged.csv,00:00:45,"(2029,2429)",35,0.797362,0.730476,0.793962
20230923_2106_merged.csv,00:01:14,"(3498,3898)",2,0.724978,0.743248,0.802741
20230923_2106_merged.csv,00:02:05,"(6038,6438)",18,0.577891,0.771547,0.752622
20230923_2106_merged.csv,00:03:08,"(9195,9595)",0,0.588272,0.732938,0.772839
20230923_2106_merged.csv,00:03:56,"(11597,11997)",18,0.550239,0.76962,0.757928
