Claim_Path,Claim_Time,Claim_Trace,Label_Time,Label_Trace,Attack_Type,Matched_File_Name,Detected_Global_Node_Seq,Reachable_Global_Node_Path,Detected_Region_Candidates,Reach_Flag,S_seq,S_whole,S_topo,Topo_Decision
局部_小米MAX3/20230616_2139,199.635,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",199.635,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230616_2139_merged.csv,"[0, 2, 12, 5]","[0, 1, 2, 1, 0, 11, 12, 11, 4, 5]","[['d4'], ['d4'], ['c4'], ['d4'], ['d4'], ['d4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4']]",1,0.4,0.6,0.5,reachable_scored
局部_小米MAX3/20230616_2142,203.652,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",203.652,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230616_2142_merged.csv,"[35, 0, 11, 2, 3, 3]","[35, 4, 11, 0, 11, 0, 1, 2, 3]","[['c6'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4']]",1,0.222222,0.333333,0.277778,reachable_scored
局部_小米MAX3/20230704_1948,196.603,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",196.603,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230704_1948_merged.csv,"[0, 2, 4]","[0, 1, 2, 3, 4]","[['d4'], ['d4'], ['c4'], ['c4'], ['d4']]",1,0.428571,0.4,0.414286,reachable_scored
局部_小米MAX3/20230704_1955,197.882,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""a4"", ""e4""]",197.882,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230704_1955_merged.csv,"[12, 0, 2, 4]","[12, 11, 0, 1, 2, 3, 4]","[['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4'], ['d4']]",1,0.428571,0.5,0.464286,reachable_scored
局部_小米MAX3/20230704_1959,197.363,"[""e4"", ""e3"", ""d4"", ""d3"", ""c2"", ""d4"", ""e4""]",197.363,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230704_1959_merged.csv,"[12, 0, 2, 3]","[12, 11, 0, 1, 2, 3]","[['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4']]",1,0.428571,0.333333,0.380952,reachable_scored
局部_小米MAX3/20230705_1300,198.185,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",198.185,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230705_1300_merged.csv,"[12, 0, 2]","[12, 11, 0, 1, 2]","[['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4']]",1,0.428571,0.6,0.514286,reachable_scored
局部_小米MAX3/20230705_1303,211.051,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",198.226,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230705_1303_merged.csv,"[0, 2, 8]","[0, 1, 2, 1, 0, 9, 8]","[['d4'], ['d4'], ['c4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3']]",1,0.571429,0.8,0.685714,reachable_scored
局部_小米MAX3/20230705_1306,196.604,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",196.604,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230705_1306_merged.csv,"[12, 0, 2, 2, 4, 5]","[12, 11, 0, 1, 2, 3, 4, 5]","[['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['c4'], ['d4'], ['d4']]",1,0.5,0.6,0.55,reachable_scored
局部_小米MAX3/20230705_1310,198.101,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",198.101,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230705_1310_merged.csv,"[2, 8, 4, 4]","[2, 1, 0, 9, 8, 9, 0, 11, 4]","[['c4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4']]",1,0.444444,0.8,0.622222,reachable_scored
局部_小米MAX3/20230706_2039,208.575,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",208.575,"[""e4"", ""e3"", ""d4"", ""d3"", ""c4"", ""d4"", ""e4""]",,20230706_2039_merged.csv,"[0, 22, 2, 8, 5]","[0, 11, 12, 31, 18, 13, 26, 22, 26, 13, 18, 31, 12, 11, 0, 1, 2, 1, 0, 9, 8, 9, 0, 11, 4, 5]","[['d4'], ['d4'], ['d4', 'e4'], ['d3', 'd4'], ['b4'], ['b3', 'b4'], ['c3'], ['c3', 'd3'], ['c3'], ['b3', 'b4'], ['b4'], ['d3', 'd4'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['c4'], ['d4'], ['d4'], ['d4', 'e4'], ['e3'], ['d4', 'e4'], ['d4'], ['d4'], ['d4'], ['d4']]",1,0.230769,0.625,0.427885,reachable_scored
