Curve,FAR,TPR,Threshold,AUC
Overall,0.019375,0.22833333333333333,0.9242307085847604,0.869575
Overall,0.019375,0.23,0.9238980851555821,0.869575
Overall,0.019375,0.23166666666666666,0.9238461123543604,0.869575
Overall,0.019375,0.23333333333333334,0.9236226243490245,0.869575
Overall,0.02,0.23333333333333334,0.9231522082236818,0.869575
Overall,0.02,0.235,0.9229147101064333,0.869575
Overall,0.02,0.23666666666666666,0.922250420991447,0.869575
Overall,0.02,0.23833333333333334,0.9222125899654275,0.869575
Overall,0.02,0.24,0.9220577929299261,0.869575
Overall,0.02,0.24166666666666667,0.9218767474746057,0.869575
Overall,0.02,0.24333333333333335,0.9217749575687544,0.869575
Overall,0.02,0.245,0.9217522524185807,0.869575
Overall,0.02,0.24666666666666667,0.9213471223677477,0.869575
Overall,0.020625,0.24666666666666667,0.9212285630687476,0.869575
Overall,0.020625,0.24833333333333332,0.9203136625304928,0.869575
Overall,0.020625,0.25,0.9201152921099373,0.869575
Overall,0.02125,0.25,0.9192804776678707,0.869575
Overall,0.02125,0.25166666666666665,0.9192123850141449,0.869575
Overall,0.02125,0.25333333333333335,0.9186327870865525,0.869575
Overall,0.021875,0.25333333333333335,0.9184273338377644,0.869575
Overall,0.021875,0.255,0.9177858933237446,0.869575
Overall,0.021875,0.25666666666666665,0.9171890593256806,0.869575
Overall,0.0225,0.25666666666666665,0.9171119852882628,0.869575
Overall,0.023125,0.25666666666666665,0.9166480071104722,0.869575
Overall,0.023125,0.25833333333333336,0.9166460606690117,0.869575
Overall,0.02375,0.25833333333333336,0.9157273995975583,0.869575
Overall,0.02375,0.26,0.9156864754065988,0.869575
Overall,0.02375,0.26166666666666666,0.9142923302646874,0.869575
Overall,0.02375,0.2633333333333333,0.914105247918896,0.869575
Overall,0.02375,0.265,0.9138425313970828,0.869575
Overall,0.02375,0.26666666666666666,0.9137913556139357,0.869575
Overall,0.02375,0.2683333333333333,0.9137336693742187,0.869575
Overall,0.02375,0.27,0.913323499918532,0.869575
Overall,0.024375,0.27,0.9124684215506279,0.869575
Overall,0.024375,0.27166666666666667,0.9117622288963013,0.869575
Overall,0.025,0.27166666666666667,0.9114153825103057,0.869575
Overall,0.025625,0.27166666666666667,0.9110822161479346,0.869575
Overall,0.025625,0.2733333333333333,0.9105606660751172,0.869575
Overall,0.025625,0.275,0.9104190393658756,0.869575
Overall,0.025625,0.27666666666666667,0.9101113046065207,0.869575
Overall,0.025625,0.2783333333333333,0.909519415266956,0.869575
Overall,0.025625,0.28,0.9094207378341969,0.869575
Overall,0.025625,0.2816666666666667,0.9094149369330435,0.869575
Overall,0.025625,0.2833333333333333,0.9092231584681784,0.869575
Overall,0.02625,0.2833333333333333,0.9091021425046216,0.869575
Overall,0.02625,0.285,0.9089848460736533,0.869575
Overall,0.02625,0.2866666666666667,0.9086114414875172,0.869575
Overall,0.02625,0.28833333333333333,0.9079266573221338,0.869575
Overall,0.026875,0.28833333333333333,0.9079157754750329,0.869575
Overall,0.026875,0.29,0.9075028489699832,0.869575
Overall,0.0275,0.29,0.9064664980744237,0.869575
Overall,0.0275,0.2916666666666667,0.9061709865399249,0.869575
Overall,0.028125,0.2916666666666667,0.9060994015645232,0.869575
Overall,0.028125,0.29333333333333333,0.9059370630276821,0.869575
Overall,0.028125,0.295,0.905760403020124,0.869575
Overall,0.028125,0.2966666666666667,0.9056432478274341,0.869575
Overall,0.02875,0.2966666666666667,0.9055634145812625,0.869575
Overall,0.02875,0.29833333333333334,0.9053773375717882,0.869575
Overall,0.02875,0.3,0.9053180825768699,0.869575
Overall,0.029375,0.3,0.9053012465425414,0.869575
Overall,0.029375,0.3016666666666667,0.9049206933939488,0.869575
Overall,0.029375,0.30333333333333334,0.9048348741039859,0.869575
Overall,0.03,0.30333333333333334,0.9042796596238244,0.869575
Overall,0.03,0.305,0.9042662070388217,0.869575
Overall,0.03,0.30666666666666664,0.903856947597625,0.869575
Overall,0.03,0.30833333333333335,0.903621314134796,0.869575
Overall,0.030625,0.30833333333333335,0.9034565563295878,0.869575
Overall,0.03125,0.30833333333333335,0.9021591858662179,0.869575
Overall,0.03125,0.31,0.9020164990503434,0.869575
Overall,0.03125,0.31166666666666665,0.9007614791230714,0.869575
Overall,0.03125,0.31333333333333335,0.9006467761346346,0.869575
Overall,0.031875,0.31333333333333335,0.9003616606713192,0.869575
Overall,0.031875,0.315,0.8997117256560753,0.869575
Overall,0.031875,0.31666666666666665,0.899405613121502,0.869575
Overall,0.031875,0.31833333333333336,0.8992648742912833,0.869575
Overall,0.031875,0.32,0.8989743486144162,0.869575
Overall,0.031875,0.32166666666666666,0.8989373051769718,0.869575
Overall,0.0325,0.32166666666666666,0.8988901968068066,0.869575
Overall,0.0325,0.3233333333333333,0.8980169861235681,0.869575
Overall,0.0325,0.325,0.89795858169407,0.869575
Overall,0.0325,0.32666666666666666,0.897377303151214,0.869575
Overall,0.033125,0.32666666666666666,0.8972681465361175,0.869575
Overall,0.03375,0.32666666666666666,0.8972527854706116,0.869575
Overall,0.034375,0.32666666666666666,0.8969266754016774,0.869575
Overall,0.034375,0.3283333333333333,0.8963894790273987,0.869575
Overall,0.034375,0.33,0.896375424330165,0.869575
Overall,0.034375,0.33166666666666667,0.8958960646095387,0.869575
Overall,0.035,0.33166666666666667,0.8958182761831031,0.869575
Overall,0.035,0.3333333333333333,0.895568326056791,0.869575
Overall,0.035,0.335,0.8949892565390052,0.869575
Overall,0.035,0.33666666666666667,0.8949200232305818,0.869575
Overall,0.035,0.3383333333333333,0.8946620070873036,0.869575
Overall,0.035625,0.3383333333333333,0.8937134858368401,0.869575
Overall,0.035625,0.34,0.8935985594024995,0.869575
Overall,0.035625,0.3416666666666667,0.8931295076560576,0.869575
