w_topo,w_time,w_signal,w_curr,FAR
0.36796237144314153,0.2130887188917106,0.2231531022673075,0.19579580739784042,4.0761111462133455
0.5604962294828559,0.12316296562597802,0.11739619497106062,0.19894460992010543,4.49321432082057
0.4549149874580615,0.17729723330501462,0.13225821512948477,0.23552956410743925,4.125559827504986
0.11193935882454768,0.17430777543628329,0.6304097681571391,0.08334309758202997,4.7039465926808655
0.017767683047138105,0.29098876062826684,0.013015087316516618,0.6782284690080783,4.993861510418007
0.21063369511851213,0.5072152691395987,0.008621091352282489,0.27352994438960665,4.50645477842956
0.08642252853802807,0.542326158310195,0.35257222735301175,0.018679085798765236,4.566749387531029
0.2059647881507966,0.20155521157980366,0.007177943525852964,0.5853020567435469,4.573360238315365
0.394800959766708,0.2604334367983454,0.32694100411019283,0.01782459932475374,4.20705274289363
0.10228831699122129,0.3230576145097124,0.22531961128603428,0.3493344572130322,4.247357419664235
0.1279171389949215,0.5263633125290149,0.2292412131907869,0.11647833528527671,4.469606992707093
0.2477675190344476,0.23985499503528815,0.3277680236690474,0.18460946226121688,4.097303297819904
0.09504046504672715,0.18627493601634504,0.5599353448187492,0.15874925411817867,5.644301321839091
0.3793640864322776,0.2849992796860392,0.17552104194795037,0.1601155919337329,4.284012966328131
0.2494467470252678,0.1230590236510331,0.5883190010351697,0.03917522828852934,4.318731066848229
0.5718538089453284,0.11843126501414285,0.28063950667722876,0.029075419363299753,4.341737735320418
0.1466383217398587,0.3986081134116623,0.3505197028133251,0.10423386203515402,4.468433481498373
0.2537831565825278,0.3946468665465715,0.2808712765036532,0.07069870036724765,4.545281060517562
0.4589561167126531,0.09312069786583857,0.11752777328046936,0.3303954121410389,4.182839817032106
0.4360559658230968,0.03927611448750739,0.19962340298207115,0.3250445167073246,4.06295801342289
0.38897100654998523,0.1845986874835315,0.045827885511035484,0.3806024204554479,3.682172242626011
0.19828945563183778,0.49195461490104403,0.04494688579178015,0.2648090436753382,4.270666639382202
0.0031677171320287044,0.7159516056561535,0.09073274550469553,0.19014793170712235,5.541334298150401
0.2559850850393837,0.4940331567641811,0.1754457313230961,0.07453602687333917,4.627746209344126
0.290567786392456,0.17292536482376594,0.05077935596350829,0.4857274928202696,4.414353836386926
0.11361939483899273,0.08634821597221752,0.3619733748126622,0.4380590143761276,4.276114239856062
0.05435714138806412,0.609908599641076,0.27507927072744515,0.0606549882434147,4.943988116036174
0.0810953256134741,0.24491816222330848,0.3679128207414403,0.306073691421777,4.293747530251697
0.502419908454074,0.19661686207079876,0.24714480964132432,0.053818419833802894,4.269433476502174
0.571668128169743,0.011320831779521399,0.4004874763633768,0.016523563687358817,4.3049023576807235
0.8109550772712708,0.09813185985438025,0.07190244147535077,0.01901062139899823,5.283239097286553
0.3598836494393392,0.3232232156855247,0.26682713944709546,0.050065995428040584,4.511260531282356
0.0018395251125449279,0.4329968431691683,0.27677786322166037,0.28838576849662645,4.6843370783764735
0.1254792573581466,0.20966937640330863,0.4747706540761035,0.19008071216244113,4.427621039913358
0.3918198021254386,0.2901336578849765,0.1164202686870651,0.2016262713025198,4.109187258446658
0.08823680718493587,0.1757746957370018,0.13467594053546345,0.601312556542599,4.094719058438969
0.037764478941056334,0.43347288068177653,0.003700603910602079,0.525062036466565,4.521755586719539
0.019782962060218505,0.24471415490060774,0.25765921016591115,0.4778436728732626,4.201855406378057
0.23345213743889545,0.5426846184779357,0.11760979692620029,0.10625344715696838,4.430201829862145
0.1619336944773905,0.3220393151675324,0.3813913855411995,0.13463560481387749,4.462139347251874
0.49340798951858555,0.26579663613530297,0.051315228958138386,0.18948014538797303,3.891909897183252
0.16763344542830733,0.5931914392433428,0.10223012004713453,0.13694499528121518,4.68999370153639
0.005647526653403661,0.349537652226184,0.4876131570960594,0.157201664024353,4.637101932782625
0.7672128570060072,0.040982390552470604,0.05225017869821056,0.13955457374331162,4.439344989236577
0.0632186218653071,0.4199903789459589,0.1938420494645184,0.32294894972421556,4.52120528687915
0.03490016263138088,0.5952577663147053,0.01178538240969903,0.3580566886442148,4.8798931014225335
0.006550806155653744,0.40055798477093857,0.2810032235178487,0.3118879855555589,4.504027464388363
0.27495010713703355,0.3049604515847653,0.02846292602870894,0.39162651524949227,4.193750972590977
0.24767256484678907,0.4821648287568969,0.002201686038455554,0.26796092035785835,4.950471359854643
0.2329972810522783,0.32544208717375916,0.06589924430382796,0.3756613874701346,4.445747200416037
0.2696397315837901,0.07960809775076286,0.09534394358548484,0.5554082270799621,4.300015717383038
0.34276261080463694,0.15904876383856656,0.3100838818928152,0.1881047434639813,4.382754903875596
0.10692548371387178,0.12322059452751409,0.21504560172737558,0.5548083200312384,4.46442103187382
0.1503945644310977,0.5866611335100875,0.11620311232153842,0.14674118973727646,4.673589454979075
0.3260795654451232,0.036625394575881744,0.01885738221416629,0.6184376577648287,3.969691331295724
0.02236734418052858,0.2065893888021714,0.4416354354437262,0.32940783157357384,4.221520685987581
0.8515375105040359,0.0638719660837104,0.08350807204308551,0.001082451369168252,5.067983952022312
0.0996569778105898,0.30025537808515235,0.19005606970232508,0.41003157440193283,4.30628209577894
0.30969432066511476,0.12632396487524164,0.43882502430042597,0.12515669015921765,4.337196351704103
0.38329465410613356,0.2903570695314463,0.1155400387827122,0.21080823757970796,4.004276896844198
0.03907376822010625,0.0823238547728643,0.6857323985079257,0.19286997849910378,4.9699244263131295
0.05678264609875817,0.45726218865208434,0.15929228397245165,0.32666288127670573,4.507891199919769
0.2681124266018343,0.20509796634158683,0.13025848947155033,0.39653111758502857,4.020773251535786
0.2397123180276991,0.5022912400415799,0.13770427735501017,0.12029216457571087,4.648211715865558
0.02268878403570461,0.26048509266421016,0.4070533461483506,0.3097727771517347,5.026422996520457
